Error,Word
অ ধ ্ জ ক ্ ষ ত া,অ ধ ্ য ক ্ ষ ত া
অ শ ো ঊ ছ ো,অ শ ো উ চ ো
আ ণ ম ন ে,আ ন ম ন ে
অ প ভ র ্ গ,অ প ব র ্ গ
আ ম ণ ্ ত ্ র ণ ে র,আ ম ন ্ ত ্ র ণ ে র
অ ধ ্ ঝ ব শ া য় হ ী ন,অ ধ ্ য ব স া য় হ ী ন
অ দ র ্ ম স ূ ন ্ য,অ ধ র ্ ম শ ূ ন ্ য
অ প ক ্ শ প া ত ী,অ প ক ্ ষ প া ত ী
অ ণ ু ছ ি ন ্ ত ন,অ ন ু চ ি ন ্ ত ন
অ ন ্ ত র ী ক ্ স,অ ন ্ ত র ী ক ্ ষ
আ ত ্ ম জ ী ব ণ ে র,আ ত ্ ম জ ী ব ন ে র
আ ফ া ত ধ ৃ ষ ্ ট,আ প া ত দ ৃ ষ ্ ট
অ ভ ছ ্ ছ ে দ,অ ব চ ্ ছ ে দ
অ ভ গ ু ণ ্ ঠ ন ব ত ী,অ ব গ ু ন ্ ঠ ন ব ত ী
আ ব ি ষ ্ ক র ন ী য়,আ ব ি ষ ্ ক র ণ ী য়
অ ঙ ্ ক স া স ্ ত ্ র,অ ঙ ্ ক শ া স ্ ত ্ র
অ ষ ্ ট া দ ি ক,অ ষ ্ ট া ধ ি ক
অ ্ ঝ া শ ি ড,অ ্ য া স ি ড
অ হ ি ং শ ্ র,অ হ ি ং স ্ র
অ ব ি ধ ্ য া ব ি স ে ষ,অ ব ি দ ্ য া ব ি শ ে ষ
অ স ম ্ ভ র,অ স ম ্ ব র
আ প ত ্ ত ি ভ া ছ ক,আ প ত ্ ত ি ব া চ ক
অ ণ ু চ র,অ ন ু চ র
অ ণ ু ণ া স ি ক,অ ন ু ন া স ি ক
আ ঁ খ ম ু ছ ো ল ি,আ ঁ খ ম ু চ ো ল ি
অ ঙ ্ গ ু স ্ ঠ,অ ঙ ্ গ ু ষ ্ ঠ
অ ব ি দ া ন,অ ভ ি ধ া ন
আ প ণ ে র,আ প ন ে র
অ ধ ি ক া র ী ঈ,অ ধ ি ক া র ী ই
আ ত ্ ম চ ৈ ত ন ্ জ,আ ত ্ ম চ ৈ ত ন ্ য
অ ভ চ ো ণ ি য় ো,অ ব চ ো ন ি য় ো
অ ভ ত ু ল,অ ব ত ু ল
অ ত ধ া র ক,অ ত দ া র ক
অ ব ি ব া ব ক র া,অ ভ ি ভ া ব ক র া
অ ভ র ে ন ্ য ে,অ ব র ে ণ ্ য ে
অ ব ক ্,অ ভ ক ্
অ ভ ি দ া ন ষ ম ্ ম ত,অ ভ ি ধ া ন স ম ্ ম ত
অ ্ জ া শ ে স ্,অ ্ য া স ে স ্
অ ম ৃ ত ো ফ ম ো,অ ম ৃ ত ো প ম ো
আ ত ্ ম প ্ র ত ্ জ য় ী,আ ত ্ ম প ্ র ত ্ য য় ী
অ ভ র ে স ভ র ে,অ ব র ে স ব র ে
আ জ া ণ ্,আ জ া ন ্
আ ত ্ ম ব ি ম গ ্ ণ,আ ত ্ ম ব ি ম গ ্ ন
অ স ং ক ো ছ ে,অ স ং ক ো চ ে
অ ক ে ঝ ো,অ ক ে জ ো
অ চ ি র ে ঈ,অ চ ি র ে ই
অ স ম ক ্ স,অ স ম ক ্ ষ
অ ভ ি ব া হ ি ত া,অ ব ি ব া হ ি ত া
অ ব ি ছ ্ ছ ি ণ ্ ন,অ ব ি চ ্ ছ ি ন ্ ন
আ ক স ্ ম ি ক ব া ভ ে,আ ক স ্ ম ি ক ভ া ব ে
অ য ো ণ ি ষ ম ্ ভ ূ ত,অ য ো ন ি স ম ্ ভ ূ ত
অ র ্ ফ য় ি ত ্ র ী,অ র ্ প য় ি ত ্ র ী
অ ফ প ্ র জ ু ক ্ ত,অ প প ্ র য ু ক ্ ত
অ ঝ ্ ঞ া ত া,অ জ ্ ঞ া ত া
অ ষ ু খ ্,অ শ ু খ ্
অ দ ম া ঙ ্ গ,অ ধ ম া ঙ ্ গ
আ ণ ল ্,আ ন ল ্
অ ভ ো হ ি ত ো,অ ব ো হ ি ত ো
অ র ্ ছ ্,অ র ্ চ ্
অ ন ্ ঝ ল ো ক,অ ন ্ য ল ো ক
অ প ি স া র,অ ফ ি স া র
আ ঁ ক া ঝ ো খ া,আ ঁ ক া জ ো খ া
অ ণ ্ ন ফ া ন ে,অ ন ্ ন প া ন ে
অ স ো য় া স ্,অ শ ো য় া স ্
অ ভ ম ত ি,অ ব ম ত ি
আ ত ্ ম ষ া শ ন,আ ত ্ ম শ া স ন
অ স ্ ত া ছ ল,অ স ্ ত া চ ল
অ ভ ল ী ল া ক ৃ ত,অ ব ল ী ল া ক ৃ ত
অ ক ৃ ত া ফ র া ধ,অ ক ৃ ত া প র া ধ
অ ফ া র গ ত া য়,অ প া র গ ত া য়
অ ষ ্ র ি ক ্,অ স ্ র ি ক ্
আ ভ র হ া র া,আ ব র হ া র া
অ ব ি ব া দ ন ক া র ী,অ ভ ি ব া দ ন ক া র ী
অ গ ্ ণ ি স ং স ্ ক া র,অ গ ্ ন ি স ং স ্ ক া র
অ ণ ব ি ল ষ ণ ী য়,অ ন ভ ি ল ষ ণ ী য়
অ ষ ্ র ু প ্ ল া ব ি ত,অ শ ্ র ু প ্ ল া ব ি ত
অ ন ু ষ ্ ব া র ে র,অ ন ু স ্ ব া র ে র
অ ধ ্ জ য় ণ,অ ধ ্ য য় ন
আ দ া ল ত ভ ি শ ে ষ,আ দ া ল ত ব ি শ ে ষ
আ ঈ ল ু,আ ই ল ু
আ ব ি ষ ্ ক া র ঝ ো গ ্ জ,আ ব ি ষ ্ ক া র য ো গ ্ য
অ ু ণ ক ্ র ম,অ ু ন ক ্ র ম
অ ভ ি ভ া দ,অ ভ ি ব া দ
অ ণ ু শ ্ ঠ া ন ে র,অ ন ু ষ ্ ঠ া ন ে র
অ ঝ শ স ্ ক র,অ য শ স ্ ক র
আ ঁ খ ি ফ ু ট ে,আ ঁ খ ি প ু ট ে
অ ভ ো ল ে হ ন ্,অ ব ো ল ে হ ন ্
আ ঁ ক া ষ ি,আ ঁ ক া শ ি
অ ভ ো ধ ম ো ন ্,অ ব ো দ ম ো ন ্
অ ণ ন ্ ত র ত ্ ভ,অ ন ন ্ ত র ত ্ ব
অ গ ো ঊ ্,অ গ ো উ ্
আ ভ ি স ্,আ ব ি স ্
আ ঊ ল ী,আ উ ল ী
আ ত ্ ম া ফ হ া র,আ ত ্ ম া প হ া র
অ ব ি ষ ্ জ ন ্ ধ ী,অ ভ ি ষ ্ য ন ্ দ ী
অ ণ ু র া গ ী,অ ন ু র া গ ী
অ ভ স র ে,অ ব স র ে
অ র ু ণ ো ধ য়,অ র ু ণ ো দ য়
অ শ ঙ ্ গ ত,অ স ঙ ্ গ ত
অ দ ঃ প ত ন ে,অ ধ ঃ প ত ন ে
আ ঁ ষ ্ ত া,আ ঁ স ্ ত া
অ ন ্ জ ে,অ ন ্ য ে
অ ন ভ শ ি ত,অ ন ব স ি ত
অ থ র ্ ভ ো,অ থ র ্ ব ো
অ ফ ো র ি চ য় ্,অ প ো র ি চ য় ্
অ ণ ব দ া ন ্,অ ন ব ধ া ন ্
অ ব ো ছ া র ্,অ ব ো চ া র ্
অ ন ি চ ্ চ ু ক ভ া ব ে,অ ন ি চ ্ ছ ু ক ভ া ব ে
আ ফ ি ত ো,আ প ি ত ো
অ ন ্ দ ত া,অ ন ্ ধ ত া
অ ল ্ প ব ি ধ ্ জ া,অ ল ্ প ব ি দ ্ য া
অ প ্ র ত ি ক র ন ী য়,অ প ্ র ত ি ক র ণ ী য়
অ ভ ি থ া র,অ ব ি থ া র
অ র ্ দ চ ন ্ ধ ্ র ে র,অ র ্ ধ চ ন ্ দ ্ র ে র
আ ফ ন া র ও,আ প ন া র ও
আ ত ্ ম ভ ো ধ ে র,আ ত ্ ম ব ো ধ ে র
অ দ র ফ ল ্ ল ব,অ ধ র প ল ্ ল ব
অ ঢ ি ট ্,অ ড ি ট ্
অ ফ া য় ্,অ প া য় ্
আ ব র ্ ঝ ণ া ম য়,আ ব র ্ জ ন া ম য়
অ ষ ্ ত ্ র ো ফ চ া র ফ ূ র ্ ব ক,অ স ্ ত ্ র ো প চ া র প ূ র ্ ব ক
অ দ ্ য া ত ্ ম ি ক,অ ধ ্ য া ত ্ ম ি ক
অ ণ ু ষ ্ ঠ ে য়,অ ন ু ষ ্ ঠ ে য়
অ ্ য া ষ ে ট ি ল ি ণ,অ ্ য া স ে ট ি ল ি ন
অ প ্ র স ণ ্ ণ া,অ প ্ র স ন ্ ন া
অ ফ র া ধ হ ে ত ু,অ প র া ধ হ ে ত ু
অ ণ ু য ো ক ্ ত া,অ ন ু য ো ক ্ ত া
অ ত ্ ঝ ু শ ্ ণ,অ ত ্ য ু ষ ্ ণ
অ ঙ ্ গ হ ী ণ,অ ঙ ্ গ হ ী ন
আ দ ি র ষ া ত ্ ম ক,আ দ ি র স া ত ্ ম ক
আ য ভ ো ধ,আ জ ব ো ধ
অ ণ া দ ি ক া ল,অ ন া দ ি ক া ল
অ ঙ ্ ক ু শ ধ া র ন ক া র ি ন ী,অ ঙ ্ ক ু শ ধ া র ণ ক া র ি ণ ী
আ ত ্ ম া ব ল ম ্ ব ণ,আ ত ্ ম া ব ল ম ্ ব ন
অ শ ্ ত গ ম ন,অ স ্ ত গ ম ন
অ ন ত ি ম ূ ল ্ জ ভ া ন,অ ন ত ি ম ূ ল ্ য ব া ন
অ ফ ূ প,অ প ূ প
অ ণ ু প ্ র ে র ি ত,অ ন ু প ্ র ে র ি ত
অ ব ী ষ ্ ট শ ি ধ ্ ধ ি র,অ ভ ী ষ ্ ট স ি দ ্ ধ ি র
অ হ ো ণ ি শ ি,অ হ ো ন ি শ ি
আ ক ্ স শ ল া ক া,আ ক ্ ষ শ ল া ক া
অ ণ া ল ্,অ ন া ল ্
অ ণ ি চ ্ চ া র,অ ন ি চ ্ ছ া র
আ ত ্ ম ন ি শ ্ ঠ া,আ ত ্ ম ন ি ষ ্ ঠ া
আ দ ক া ল া,আ ধ ক া ল া
আ ছ া র ন ি শ ্ ঠ,আ চ া র ন ি ষ ্ ঠ
আ ক া ষ ধ ে শ,আ ক া শ দ ে শ
অ শ ু স ্ থ ত া য়,অ স ু স ্ থ ত া য়
অ ক ্ শ য় ল ো ক,অ ক ্ ষ য় ল ো ক
অ ণ ু ণ ্ ন ত ি,অ ন ু ন ্ ন ত ি
আ ঁ ক ণ,আ ঁ ক ন
অ ত ি ক ্ র ম প ূ র ্ ভ ক,অ ত ি ক ্ র ম প ূ র ্ ব ক
আ জ ণ ্ ত,আ জ ন ্ ত
অ প ে ক ্ শ া র,অ প ে ক ্ ষ া র
অ র ্ থ ব ্ জ য়,অ র ্ থ ব ্ য য়
অ ভ ি শ ্ ব া ষ ্ জ ভ া ব ে,অ ব ি শ ্ ব া স ্ য ভ া ব ে
অ র ্ থ ষ ম ূ হ,অ র ্ থ স ম ূ হ
অ ণ ম ন ী য় ত া,অ ন ম ন ী য় ত া
আ ভ র া,আ ব র া
অ ভ ি ক ্ ষ ু ভ ্ ধ,অ ব ি ক ্ ষ ু ব ্ ধ
আ চ া ড় ্,আ ছ া ড় ্
অ ম ্ ভ ু ধ ি,অ ম ্ ব ু ধ ি
অ ফ র ূ প,অ প র ূ প
অ র ্ ঘ ্ য ধ া ন,অ র ্ ঘ ্ য দ া ন
অ ধ য় ্,অ দ য় ্
অ য় ে ল ্ ঢ,অ য় ে ল ্ ড
অ প ি স া র ্,অ ফ ি স া র ্
অ ম র া ণ গ র ী,অ ম র া ন গ র ী
অ প ো ঊ র ু শ ্,অ প ো উ র ু শ ্
আ ও ট া ণ ো,আ ও ট া ন ো
আ ণ ি স ু য ্ জ া ম া ণ,আ ন ি স ু জ ্ জ া ম া ন
অ ন া র ্ ত ভ,অ ন া র ্ ত ব
অ ষ ু প ্ র,অ শ ু প ্ র
অ ক ি ঞ ্ ছ ি ৎ ক র ত া,অ ক ি ঞ ্ চ ি ৎ ক র ত া
অ ব ক া ষ স ূ ন ্ জ,অ ব ক া শ শ ূ ন ্ য
অ ল ি ব,অ ল ি ভ
অ ষ া ম ো য় ি ক ্,অ শ া ম ো য় ি ক ্
অ গ র ্ ব জ া ত া,অ গ র ্ ভ জ া ত া
অ ণ ্ ত র ্,অ ন ্ ত র ্
অ ন ু স র ন ক া র ী,অ ন ু স র ণ ক া র ী
অ ণ ্ য া য় ে র,অ ন ্ য া য় ে র
অ ভ া র ্ য,অ ব া র ্ য
অ ন ু ব ূ ত ি র,অ ন ু ভ ূ ত ি র
অ শ ্ র ু ভ ি দ ৌ ত,অ শ ্ র ু ব ি ধ ৌ ত
আ ট া ঝ ু ক ্ ত,আ ট া য ু ক ্ ত
অ ন ু ধ ি ত ো,অ ন ু দ ি ত ো
অ ন ন ু ম ো ধ ি ত ো,অ ন ন ু ম ো দ ি ত ো
অ ন ু ফ য ু ্ ক ্ ত,অ ন ু প য ু ্ ক ্ ত
আ চ ি ল ো,আ ছ ি ল ো
অ ণ ্ ত র ি ক ্ শ চ া র ী,অ ন ্ ত র ি ক ্ ষ চ া র ী
অ র ্ ক প ল া র,অ র ্ ক ফ ল া র
অ ন ু ল ো ম ভ ি ভ া হ,অ ন ু ল ো ম ব ি ব া হ
আ দ ে ল া,আ ধ ে ল া
অ ণ ন ু ম ত,অ ন ন ু ম ত
আ ও ত া ব ু ক ্ ত,আ ও ত া ভ ু ক ্ ত
আ প ত ণ,আ প ত ন
আ ণ ্ ত র ি ক ত া,আ ন ্ ত র ি ক ত া
অ ষ া ন ্ ত ি র,অ শ া ন ্ ত ি র
অ ফ হ র ন ক া র ি ণ ী,অ প হ র ণ ক া র ি ণ ী
আ ধ ভ া র,আ ধ ব া র
আ ফ ্ ত স া র,আ প ্ ত স া র
আ ধ ৃ শ ী,আ দ ৃ শ ী
অ ণ ্ ত ি ম স ম য়,অ ন ্ ত ি ম স ম য়
অ ত ্ ঝ া ব শ ্ ঝ ক,অ ত ্ য া ব শ ্ য ক
অ ম ্ ভ ু ব া ছ ী ত ে,অ ম ্ ব ু ব া চ ী ত ে
আ ত ্ ম ত ু ল ্ জ া,আ ত ্ ম ত ু ল ্ য া
অ ভ া র ো ন ্,অ ব া র ো ন ্
অ ন া ড় স ্,অ ন া ড় শ ্
অ ্ জ া ক া ট ্,অ ্ য া ক া ট ্
আ ক ষ ে র,আ ক শ ে র
অ ট ্ ট ণ ি ন া ধ,অ ট ্ ট ন ি ন া দ
অ ঞ ্ জ ণ ি ক া,অ ঞ ্ জ ন ি ক া
আ য হ র ্,আ জ হ র ্
আ খ ্ ঝ া ধ া র ী,আ খ ্ য া ধ া র ী
আ ত ফ ত া প,আ ত প ত া প
আ গ ু ণ ট া,আ গ ু ন ট া
অ ভ ি ত থ,অ ব ি ত থ
অ র ্ থ া ধ ি র,অ র ্ থ া দ ি র
অ ব দ ূ ত,অ ব ধ ূ ত
অ ভ ি ন স ্ ব র,অ ব ি ন শ ্ ব র
অ ব ি ব ক ্,অ ব ি ভ ক ্
আ ফ ট া র ণ ু ণ,আ ফ ট া র ন ু ন
অ ন ু ব া ধ ি ত,অ ন ু ব া দ ি ত
অ ভ র ু দ ্ দ,অ ব র ু দ ্ ধ
অ ব ্ র ো ম ্,অ ভ ্ র ো ম ্
আ ত ্ ম ফ ী ড় া দ া য় ক,আ ত ্ ম প ী ড় া দ া য় ক
অ ভ ো ল ি প ্,অ ব ো ল ি প ্
আ ছ র ি ত,আ চ র ি ত
অ ন ু ছ র ধ ্ ব য়,অ ন ু চ র দ ্ ব য়
অ ণ ো দ ্,অ ন ো দ ্
অ ণ ু র ্ ব র,অ ন ু র ্ ব র
আ ঝ া ন ু ল ম ্ ব ি ত য ট া,আ জ া ন ু ল ম ্ ব ি ত জ ট া
অ শ ্ ত ্ র ব ি ধ,অ স ্ ত ্ র ব ি দ
অ ণ ি ষ ্ ঠ,অ ন ি ষ ্ ঠ
অ ব ্ য া হ ত র ূ ফ ে,অ ব ্ য া হ ত র ূ প ে
অ দ ো ল ি খ ি ত,অ ধ ো ল ি খ ি ত
অ ণ ন ্ ভ ে ষ ি ত,অ ন ন ্ ব ে ষ ি ত
অ ণ ু প,অ ন ু প
অ ধ র ্ ম া ছ র ণ,অ ধ র ্ ম া চ র ণ
অ র ণ ্ য শ শ ্ ঠ ী,অ র ণ ্ য ষ ষ ্ ঠ ী
অ ঋ ন ী,অ ঋ ণ ী
অ ণ ো ভ ি ল স ো ন ি য় ো,অ ন ো ভ ি ল শ ো ন ি য় ো
অ ক ল ্ জ া ণ,অ ক ল ্ য া ণ
অ ণ ণ ্ য চ ি ত ্ ত ে,অ ন ন ্ য চ ি ত ্ ত ে
অ ং স ত ্ র য়,অ ং শ ত ্ র য়
আ ত র দ া ণ ি,আ ত র দ া ন ি
অ ধ ি ফ,অ ধ ি প
অ ন ্ ত র ্ জ ্ ভ া ল া,অ ন ্ ত র ্ জ ্ ব া ল া
আ ভ ্ র হ ্ ম,আ ব ্ র হ ্ ম
আ ণ ্ ট া র ্ ক ট ি ক া,আ ন ্ ট া র ্ ক ট ি ক া
অ ণ ু ম ত ি ত ে,অ ন ু ম ত ি ত ে
অ ভ া ক ্,অ ব া ক ্
অ ভ ্ জ ূ ঢ় া ন ্ ন,অ ব ্ য ূ ঢ় া ন ্ ন
অ ষ ্ ট ছ ত ্ ভ া র ি ং শ,অ ষ ্ ট চ ত ্ ব া র ি ং শ
অ স ু র ধ ে র,অ স ু র দ ে র
আ ত ্ ম ভ া দ ী,আ ত ্ ম ব া দ ী
অ প ্ শ র ী র,অ প ্ স র ী র
অ ক ্ শ ম,অ ক ্ ষ ম
অ ফ ্ র ক ম ্ প,অ প ্ র ক ম ্ প
অ ভ ষ ্ থ া ই,অ ব স ্ থ া ই
অ শ ্ ভ া দ ি ত,অ স ্ ব া দ ি ত
অ ণ ব ো গ ু ণ ্,অ ন ব ো গ ু ন ্
অ ব ি য ো গ ী,অ ভ ি য ো গ ী
অ র ্ ধ ছ ণ ্ দ ্ র ক া র,অ র ্ ধ চ ন ্ দ ্ র ক া র
অ ব ি ষ ে ক,অ ভ ি ষ ে ক
অ ল ্ ফ ক ্ শ ণ ে র,অ ল ্ প ক ্ ষ ণ ে র
অ প া ভ র ো ণ ্,অ প া ব র ো ন ্
আ ব ে শ ্ ত া র,আ ব ে স ্ ত া র
অ শ া শ ি ত,অ শ া স ি ত
অ ন া য় া ষ ে,অ ন া য় া স ে
অ শ ্ ত ্ র র ূ প ে ও,অ স ্ ত ্ র র ূ প ে ও
আ ভ র ্ ত ্ ত,আ ব র ্ ত ্ ত
আ ক া ঙ ্ ক ্ স ি ত,আ ক া ঙ ্ ক ্ ষ ি ত
অ ফ র া জ ি ত া য়,অ প র া জ ি ত া য়
অ গ ্ র জ ধ ে র,অ গ ্ র জ দ ে র
অ প ছ য়,অ প চ য়
অ ন ্ ত ঃ ফ ু র ি ক া,অ ন ্ ত ঃ প ু র ি ক া
অ ণ ণ ্ ত ম া ঝ ে,অ ন ন ্ ত ম া ঝ ে
অ হ ি ক ো শ,অ হ ি ক ো ষ
অ র ্ য ক ত ৃ,অ র ্ জ ক ত ৃ
আ দ ্ য ো ফ া ণ ্ ত,আ দ ্ য ো প া ন ্ ত
অ ভ ি র ্,অ ব ি র ্
অ দ ি ভ ু ক ্ ত,অ ধ ি ভ ু ক ্ ত
অ গ ন ্ য,অ গ ণ ্ য
অ খ ণ ্ ঢ ত া র,অ খ ণ ্ ড ত া র
আ ট া ণ ব ্ ব ই,আ ট া ন ব ্ ব ই
অ ফ ্ র ত ্ ঝ ক ্ ষ,অ প ্ র ত ্ য ক ্ ষ
অ ণ ু ব ূ ত ি ফ ্ র ব ণ,অ ন ু ভ ূ ত ি প ্ র ব ণ
অ ঙ ্ গ ফ ত ন,অ ঙ ্ গ প ত ন
অ গ ো শ ্ ত ো,অ গ ো স ্ ত ো
অ ন ু ক ্ র ম ন ি ক া,অ ন ু ক ্ র ম ণ ি ক া
অ ফ ্ র স ম ন ী য়,অ প ্ র শ ম ন ী য়
অ ক ল ু স,অ ক ল ু ষ
অ ফ ্ র ত ্ য া স া,অ প ্ র ত ্ য া শ া
আ ম া ণ ত ক র া,আ ম া ন ত ক র া
অ ফ ্ র শ ি দ ্ ধ ি,অ প ্ র স ি দ ্ ধ ি
আ ঈ ন ষ ূ হ,আ ই ন স ূ হ
অ স ি ভ ে,অ স ি ব ে
অ ব ্ র ম ে,অ ভ ্ র ম ে
অ ন া ব শ ্ ঝ ক ত া,অ ন া ব শ ্ য ক ত া
অ ষ ূ র ্ ঝ ম ্ ফ শ ্ য া,অ স ূ র ্ য ম ্ প শ ্ য া
অ ফ ্ র া ফ ্ য,অ প ্ র া প ্ য
অ হ ি ঊ ল ্ ল া হ,অ হ ি উ ল ্ ল া হ
অ ণ ু ম া ন জ ো গ ্ য,অ ন ু ম া ন য ো গ ্ য
অ ল গ ্ ণ,অ ল গ ্ ন
আ ম ভ ষ ্ য া,আ ম ব স ্ য া
আ ঈ য় া ম,আ ই য় া ম
অ শ ্ ত ্ র ন ি ভ া র ণ,অ স ্ ত ্ র ন ি ব া র ণ
অ র ু ন ি ত,অ র ু ণ ি ত
অ ভ ো ন ্,অ ব ো ন ্
আ জ া ণ ু,আ জ া ন ু
অ ্ ঝ া ট র ্ ন ি,অ ্ য া ট র ্ ন ি
অ র ি ণ ্ দ ম,অ র ি ন ্ দ ম
